id;name;surname;patronymic;gender;position;academicDegree;academicTitle;employmentDate;workload;email;phone;department;dateOfBirth;age
t0001;Andrii;Hlybovets;Mykolaiovych;Male;Dean;Doctor of Sciences;Professor;2005-09-01;40.0;a.hlybovets@digiuni.ukma.edu;+380501234567;DEAN:f001;1975-04-12;51
t0002;Semen;Horokhovskyi;Samuilovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2010-09-01;40.0;s.horokhovskyi@digiuni.ukma.edu;+380671234567;d001;1980-05-15;46
t0003;Oleksandr;Zhezherun;Petrovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2012-09-01;40.0;o.zhezherun@digiuni.ukma.edu;+380631234567;d002;1982-11-20;43
t0004;Ihor;Derevianko;Mykolaiovych;Male;Head of Department;Doctor of Sciences;Professor;2008-09-01;40.0;i.derevianko@digiuni.ukma.edu;+380501234568;d003;1970-02-10;56
t0005;Ruslan;Chornei;Kostiantynovych;Male;Head of Department;Doctor of Sciences;Professor;2002-09-01;60.0;r.chornei@digiuni.ukma.edu;+380671234568;d004;1965-08-25;60
t0006;Oleksandra;Humenna;Vitaliivna;Female;Dean;Doctor of Sciences;Professor;2000-09-01;40.0;o.humenna@digiuni.ukma.edu;+380631234568;DEAN:f002;1972-03-08;54
t0007;Yurii;Bazhal;Mykolaiovych;Male;Head of Department;Doctor of Sciences;Professor;1995-09-01;40.0;y.bazhal@digiuni.ukma.edu;+380501234569;d005;1955-12-12;70
t0008;Iryna;Lukianenko;Hryhorivna;Female;Head of Department;Doctor of Sciences;Professor;1998-09-01;40.0;i.lukianenko@digiuni.ukma.edu;+380671234569;d006;1968-07-19;57
t0009;Dmytro;Mazin;Mykhailovych;Male;Dean;Candidate of Sciences;Associate Professor;2015-09-01;40.0;d.mazin@digiuni.ukma.edu;+380631234569;DEAN:f003;1985-01-30;41
t0010;Nataliya;Shlikhta;Vasylivna;Female;Head of Department;Doctor of Sciences;Professor;2006-09-01;40.0;n.shlikhta@digiuni.ukma.edu;+380501234570;d008;1976-09-14;49
t0011;Leonid;Zalizniak;Lvovych;Male;Head of Department;Doctor of Sciences;Professor;1993-09-01;20.0;l.zalizniak@digiuni.ukma.edu;+380671234570;d009;1951-01-19;75
t0012;Vadym;Menzhulin;Ihorovych;Male;Head of Department;Doctor of Sciences;Professor;2004-09-01;40.0;v.menzhulin@digiuni.ukma.edu;+380631234570;d010;1973-10-05;52
t0013;Roman;Veretelnyk;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2001-09-01;40.0;r.veretelnyk@digiuni.ukma.edu;+380501234571;d011;1969-04-22;57
t0014;Vira;Aheieva;Pavlivna;Female;Head of Department;Doctor of Sciences;Professor;1996-09-01;40.0;v.aheieva@digiuni.ukma.edu;+380671234571;d012;1958-07-30;67
t0015;Svitlana;Ivanenko;Ihorivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2010-09-01;40.0;s.ivanenko@digiuni.ukma.edu;+380631234571;d013;1981-12-01;44
t0016;Volodymyr;Venher;Mykolaiovych;Male;Dean;Candidate of Sciences;Associate Professor;2014-09-01;40.0;v.venher@digiuni.ukma.edu;+380501234572;DEAN:f004;1986-06-15;40
t0017;Mykola;Koziubra;Ivanovych;Male;Head of Department;Doctor of Sciences;Professor;1997-09-01;20.0;m.koziubra@digiuni.ukma.edu;+380671234572;d014;1937-11-24;88
t0018;Myroslava;Antonovych;Orestivna;Female;Head of Department;Doctor of Sciences;Professor;1999-09-01;40.0;m.antonovych@digiuni.ukma.edu;+380631234572;d015;1958-03-10;68
t0019;Zoryana;Borysenko;Serhiivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2016-09-01;40.0;z.borysenko@digiuni.ukma.edu;+380501234573;d017;1988-09-05;37
t0020;Anatolii;Bilous;Markovych;Male;Dean;Doctor of Sciences;Professor;2005-09-01;40.0;a.bilous@digiuni.ukma.edu;+380671234573;DEAN:f005;1960-02-14;66
t0021;Taras;Kazantsev;Anatoliyovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2011-09-01;40.0;t.kazantsev@digiuni.ukma.edu;+380631234573;d018;1982-08-21;44
t0022;Viktor;Karamushka;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2003-09-01;40.0;v.karamushka@digiuni.ukma.edu;+380501234574;d019;1965-11-11;60
t0023;Anatolii;Burban;Fedorovych;Male;Head of Department;Doctor of Sciences;Professor;2000-09-01;40.0;a.burban@digiuni.ukma.edu;+380671234574;d020;1962-05-30;64
t0024;Bohdan;Kopyilets;Ivanovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2013-09-01;40.0;b.kopyilets@digiuni.ukma.edu;+380631234574;d021;1984-04-18;42
t0025;Svitlana;Oksamytna;Mykolaivna;Female;Dean;Doctor of Sciences;Professor;1998-09-01;40.0;s.oksamytna@digiuni.ukma.edu;+380501234575;DEAN:f006;1964-08-15;61
t0026;Oleksandr;Demianchuk;Petrovych;Male;Head of Department;Doctor of Sciences;Professor;2002-09-01;40.0;o.demianchuk@digiuni.ukma.edu;+380671234575;d023;1968-12-05;58
t0027;Serhii;Bohdanov;Bohdanovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2007-09-01;40.0;s.bohdanov@digiuni.ukma.edu;+380631234575;d024;1978-01-25;48
t0028;Oksana;Boiko;Mykolaivna;Female;Head of Department;Doctor of Sciences;Professor;2005-09-01;40.0;o.boiko@digiuni.ukma.edu;+380501234576;d025;1975-09-09;51
t0029;Yevhen;Fedchenko;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2004-09-01;40.0;y.fedchenko@digiuni.ukma.edu;+380671234576;d026;1974-10-22;51
t0030;Tetiana;Yurochko;Petrivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2009-09-01;40.0;t.yurochko@digiuni.ukma.edu;+380631234576;d027;1980-03-14;46
t0031;Bohdana;Oliynyk;Vitaliivna;Female;Professor;Doctor of Sciences;Professor;2010-09-01;40.0;b.oliynyk@digiuni.ukma.edu;+380501234584;d004;1978-05-15;48
t0032;Oleksii;Kashpirovskyi;Ivanovych;Male;Associate Professor;Candidate of Sciences;Associate Professor;2012-09-01;40.0;o.kashpirovskyi@digiuni.ukma.edu;+380671234584;d004;1982-11-20;44
