id;name;surname;patronymic;gender;course;enrollmentDate;group;faculty;speciality;studyForm;status;email;phone;dateOfBirth;age
st20250001;Vitalina;Bachynska;Serhiivna;Female;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;v.bachynska@ukma.edu.ua;+380503809944;2006-04-12;20
st20250002;Daria;Bobko;Ihorivna;Female;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;d.bobko@ukma.edu.ua;+380503809945;2007-08-23;18
st20250003;Ivan;Bozhenko;Ihorovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;i.bozhenko@ukma.edu.ua;+380503809946;2006-11-05;19
st20250004;Hordii;Bondarenko;Serhiiovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;h.bondarenko@ukma.edu.ua;+380503809947;2007-01-14;19
st20250005;Sofiia;Bordachenko;Oleksandrivna;Female;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;s.bordachenko@ukma.edu.ua;+380503809948;2006-09-30;19
st20250006;Veronika;Burmetska;Valentynivna;Female;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;v.burmetska@ukma.edu.ua;+380503809949;2007-05-18;18
st20250007;Mykola;Vashchuk;Volodymyrovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;m.vashchuk@ukma.edu.ua;+380503809950;2006-03-22;20
st20250008;Yurii;Voloshanovych;Kostiantynovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;y.voloshanovych@ukma.edu.ua;+380503809951;2007-12-11;18
st20250009;Artem;Voloshchenko;Oleksiiovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;a.voloshchenko@ukma.edu.ua;+380503809952;2006-07-07;19
st20250010;Roman;Hvozdik;Andriiovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;r.hvozdik@ukma.edu.ua;+380503809953;2007-02-28;19
st20250011;Nikita;Hella;Serhiiovych;Male;1;2025-09-01;1;f001;sp001;BUDGET;ACTIVE;n.hella@ukma.edu.ua;+380503809954;2006-10-15;19
st20240001;Anton;Boiko;Vladyslavovych;Male;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;a.boiko@ukma.edu.ua;+380501234511;2005-02-15;21
st20240002;Sofiia;Bondarenko;Yevhenivna;Female;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;s.bondarenko@ukma.edu.ua;+380501234523;2006-05-15;19
