id;name;surname;patronymic;course;enrollmentDate;group;faculty;speciality;studyForm;status;email;phone;dateOfBirth;age

st20240001;Mykola;Boiko;Oleksandrovych;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;m.boiko@ukma.edu.ua;+380501234503;2005-08-18;20
st20240002;Alina;Boiko;Yevhenivna;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;a.boiko@ukma.edu.ua;+380501234504;2006-01-16;20
st20240003;Halyna;Boiko;Vitaliivna;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;h.boiko@ukma.edu.ua;+380501234535;2005-09-01;20
st20240004;Diana;Bondar;Stepanivna;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;d.bondar@ukma.edu.ua;+380501234509;2006-05-22;19
st20240005;Uliana;Dmytrenko;Vladyslavivna;2;2024-09-01;1;f001;sp001;CONTRACT;ACTIVE;u.dmytrenko@ukma.edu.ua;+380501234506;2006-05-23;19
st20240006;Mykhailo;Havryliuk;Antonovych;2;2024-09-01;1;f001;sp001;BUDGET;ACTIVE;m.havryliuk@ukma.edu.ua;+380501234501;2006-05-15;19
st20240007;Liubov;Havryliuk;Volodymyrivna;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;l.havryliuk@ukma.edu.ua;+380501234527;2006-01-10;20
st20240008;Nazar;Honcharenko;Maksymovych;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;n.honcharenko@ukma.edu.ua;+380501234523;2005-08-22;20
st20240009;Roman;Ivanenko;Denysovych;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;r.ivanenko@ukma.edu.ua;+380501234512;2005-08-23;20
st20240010;Bohdan;Karpenko;Oleksandrovych;2;2024-09-01;2;f001;sp001;BUDGET;ACTIVE;b.karpenko@ukma.edu.ua;+380501234507;2005-05-09;20
st20240011;Viktor;Kravchenko;Antonovych;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;v.kravchenko@ukma.edu.ua;+380501234519;2005-10-22;20
st20240012;Viktor;Lysenko;Antonovych;2;2024-09-01;2;f001;sp001;CONTRACT;ACTIVE;v.lysenko@ukma.edu.ua;+380501234522;2005-08-16;20
st20240013;Uliana;Lysenko;Serhiivna;2;2024-09-01;3;f001;sp001;BUDGET;ACTIVE;u.lysenko@ukma.edu.ua;+380501234533;2005-10-20;20
st20240014;Vitalii;Marchenko;Ivanovych;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;v.marchenko@ukma.edu.ua;+380501234510;2006-10-03;19
st20240015;Pavlo;Marchenko;Antonovych;2;2024-09-01;3;f001;sp001;BUDGET;ACTIVE;p.marchenko@ukma.edu.ua;+380501234514;2005-07-10;20
st20240016;Alisa;Marchenko;Bohdanivna;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;a.marchenko@ukma.edu.ua;+380501234530;2005-06-02;20
st20240017;Alisa;Moroz;Denysivna;2;2024-09-01;3;f001;sp001;CONTRACT;ACTIVE;a.moroz@ukma.edu.ua;+380501234508;2005-12-21;20
