id;name;surname;patronymic;gender;position;academicDegree;academicTitle;employmentDate;workload;email;phone;department;dateOfBirth;age
t0001;Andrii;Hlybovets;Mykolaiovych;Male;Dean;Doctor of Sciences;Professor;2005-09-01;40.0;a.hlybovets@digiuni.ukma.edu;+380501234567;DEAN:f001;1975-04-12;51
t0002;Semen;Horokhovskyi;Samuilovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2010-09-01;40.0;s.horokhovskyi@digiuni.ukma.edu;+380671234567;d001;;
t0003;Oleksandr;Zhezherun;Petrovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2012-09-01;40.0;o.zhezherun@digiuni.ukma.edu;+380631234567;d002;;
t0004;Ihor;Derevianko;Mykolaiovych;Male;Head of Department;Doctor of Sciences;Professor;2008-09-01;40.0;i.derevianko@digiuni.ukma.edu;+380501234568;d003;;
t0005;Ruslan;Chornei;Kostiantynovych;Male;Head of Department;Doctor of Sciences;Professor;2002-09-01;60.0;r.chornei@digiuni.ukma.edu;+380671234568;d004;;
t0006;Oleksandra;Humenna;Vitaliivna;Female;Dean;Doctor of Sciences;Professor;2000-09-01;40.0;o.humenna@digiuni.ukma.edu;+380631234568;DEAN:f002;1972-03-08;54
t0007;Yurii;Bazhal;Mykolaiovych;Male;Head of Department;Doctor of Sciences;Professor;1995-09-01;40.0;y.bazhal@digiuni.ukma.edu;+380501234569;d005;;
t0008;Iryna;Lukianenko;Hryhorivna;Female;Head of Department;Doctor of Sciences;Professor;1998-09-01;40.0;i.lukianenko@digiuni.ukma.edu;+380671234569;d006;;
t0009;Dmytro;Mazin;Mykhailovych;Male;Dean;Candidate of Sciences;Associate Professor;2015-09-01;40.0;d.mazin@digiuni.ukma.edu;+380631234569;DEAN:f003;1985-01-30;41
t0010;Nataliya;Shlikhta;Vasylivna;Female;Head of Department;Doctor of Sciences;Professor;2006-09-01;40.0;n.shlikhta@digiuni.ukma.edu;+380501234570;d008;;
t0011;Leonid;Zalizniak;Lvovych;Male;Head of Department;Doctor of Sciences;Professor;1993-09-01;20.0;l.zalizniak@digiuni.ukma.edu;+380671234570;d009;;
t0012;Vadym;Menzhulin;Ihorovych;Male;Head of Department;Doctor of Sciences;Professor;2004-09-01;40.0;v.menzhulin@digiuni.ukma.edu;+380631234570;d010;;
t0013;Roman;Veretelnyk;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2001-09-01;40.0;r.veretelnyk@digiuni.ukma.edu;+380501234571;d011;;
t0014;Vira;Aheieva;Pavlivna;Female;Head of Department;Doctor of Sciences;Professor;1996-09-01;40.0;v.aheieva@digiuni.ukma.edu;+380671234571;d012;;
t0015;Svitlana;Ivanenko;Ihorivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2010-09-01;40.0;s.ivanenko@digiuni.ukma.edu;+380631234571;d013;;
t0016;Volodymyr;Venher;Mykolaiovych;Male;Dean;Candidate of Sciences;Associate Professor;2014-09-01;40.0;v.venher@digiuni.ukma.edu;+380501234572;DEAN:f004;1986-06-15;39
t0017;Mykola;Koziubra;Ivanovych;Male;Head of Department;Doctor of Sciences;Professor;1997-09-01;20.0;m.koziubra@digiuni.ukma.edu;+380671234572;d014;;
t0018;Myroslava;Antonovych;Orestivna;Female;Head of Department;Doctor of Sciences;Professor;1999-09-01;40.0;m.antonovych@digiuni.ukma.edu;+380631234572;d015;;
t0019;Zoryana;Borysenko;Serhiivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2016-09-01;40.0;z.borysenko@digiuni.ukma.edu;+380501234573;d017;;
t0020;Anatolii;Bilous;Markovych;Male;Dean;Doctor of Sciences;Professor;2005-09-01;40.0;a.bilous@digiuni.ukma.edu;+380671234573;DEAN:f005;1960-02-14;66
t0021;Taras;Kazantsev;Anatoliyovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2011-09-01;40.0;t.kazantsev@digiuni.ukma.edu;+380631234573;d018;;
t0022;Viktor;Karamushka;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2003-09-01;40.0;v.karamushka@digiuni.ukma.edu;+380501234574;d019;;
t0023;Anatolii;Burban;Fedorovych;Male;Head of Department;Doctor of Sciences;Professor;2000-09-01;40.0;a.burban@digiuni.ukma.edu;+380671234574;d020;;
t0024;Bohdan;Kopyilets;Ivanovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2013-09-01;40.0;b.kopyilets@digiuni.ukma.edu;+380631234574;d021;;
t0025;Svitlana;Oksamytna;Mykolaivna;Female;Dean;Doctor of Sciences;Professor;1998-09-01;40.0;s.oksamytna@digiuni.ukma.edu;+380501234575;DEAN:f006;1964-08-15;61
t0026;Oleksandr;Demianchuk;Petrovych;Male;Head of Department;Doctor of Sciences;Professor;2002-09-01;40.0;o.demianchuk@digiuni.ukma.edu;+380671234575;d023;;
t0027;Serhii;Bohdanov;Bohdanovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2007-09-01;40.0;s.bohdanov@digiuni.ukma.edu;+380631234575;d024;;
t0028;Oksana;Boiko;Mykolaivna;Female;Head of Department;Doctor of Sciences;Professor;2005-09-01;40.0;o.boiko@digiuni.ukma.edu;+380501234576;d025;;
t0029;Yevhen;Fedchenko;Mykolaiovych;Male;Head of Department;Candidate of Sciences;Associate Professor;2004-09-01;40.0;y.fedchenko@digiuni.ukma.edu;+380671234576;d026;;
t0030;Tetiana;Yurochko;Petrivna;Female;Head of Department;Candidate of Sciences;Associate Professor;2009-09-01;40.0;t.yurochko@digiuni.ukma.edu;+380631234576;d027;;
